Unnamed: 0,speed_m/s,mass_kg,datetime,zone,energy,breaches,cum_kg
160213,10.685188840791476,22.8518212892424,4825449.0,1,1.3045334732021727,0,0.0
717184,38.9973782661209,9.886409347502097,2820586.0,2,7.517603480913573,0,0.0
906364,40.64441221080187,20.535686154793847,14955058.0,2,16.96215069784046,0,0.0
942723,38.55998976930776,3.4869537158156203,17300132.0,2,2.5923283366467325,0,0.0
931539,38.61426091611263,43.08501319725223,16575309.0,2,32.12119457876307,0,0.0
435352,7.854660857265089,39.02967829325308,13097164.0,1,1.2039816065584408,0,0.0
442718,12.469033751102735,1636.563189293185,13318059.0,1,127.22380603256752,0,0.0
533556,11.324240463314682,19.498433945302644,16036844.0,1,1.250224201000359,0,0.0
39644,7.6396921693132995,50.73050095560952,1188630.0,1,1.480440217359091,0,0.0
9633,9.102348104355643,101.8329674056042,285672.0,1,4.2185702375141165,0,0.0
966047,38.224726150155945,15.10665945906981,18792628.0,2,11.036394320551477,0,0.0
479232,9.641259267001338,154.84225395488704,14408274.0,1,7.196594166155337,0,0.0
474555,8.063307466750057,985.1199501941464,14268229.0,1,32.02473609342493,0,0.0
949907,40.38273202019749,41.00681048942791,17761368.0,2,33.43623658505981,0,0.0
369014,8.454906577896962,187.5016080796169,11096993.0,1,6.701817968484194,0,0.0
495181,8.156097123644557,2193.156223333012,14886050.0,1,72.94648173639223,0,0.0
318540,9.874651359055822,591.1139266573645,9583065.0,1,28.81938693366325,0,0.0
40337,6.26379879553113,1841.0482882675549,1211102.0,1,36.11692620982336,0,0.0
562753,7.9846570419103715,1172.2451227328718,16915701.0,1,37.36809624212141,0,0.0
482259,10.330835329787128,541.58259916639,14498632.0,1,28.900515189843063,0,0.0
777668,40.089240035003726,104.99161727067695,6699162.0,2,84.36849010582776,0,0.0
225959,7.0110575374457005,373.0904337578209,6790980.0,1,9.169616665882169,0,0.0
60083,7.565873569565586,1878.1315920069565,1802844.0,1,53.754420179511605,0,0.0
335256,10.040585358087553,165.43987506041765,10083546.0,1,8.339274372640054,0,0.0
715830,33.419147440146574,4.705565217377849,2729526.0,2,2.627680353783755,0,0.0
104023,8.589698134823696,2139.2526566760257,3126346.0,1,78.92014744659289,0,0.0
679976,31.16941101531732,43.95045425407892,431031.0,2,21.349640383571693,0,0.0
360591,5.331934514711108,777.2320371593237,10841640.0,1,11.0481690756602,0,0.0
74067,5.333539080094196,1334.8361341490274,2225690.0,1,18.985800895497174,0,0.0
820722,38.3061276994746,354.0113780635181,9467655.0,2,259.7309650754751,0,0.0
848476,37.272769290798514,1.0930958980952925,11275552.0,2,0.7592968378375192,0,0.0
342495,11.2967668546984,821.6584798991325,10298373.0,1,52.42877102748406,0,0.0
112924,6.001428616483213,2425.827981479371,3398282.0,1,43.68569960915818,0,0.0
219630,9.001159874698564,54.9840244654605,6596154.0,1,2.2274269990456346,0,0.0
322542,8.141522075892267,2994.6478931857446,9706756.0,1,99.2491920228413,0,0.0
